,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
nobody EDG,,3 Round 1 iZu Sylvan Round 4 iZu Sylvan Round 12 BuZz Sylvan,,,,,,,,,44,0,0
ZmjjKK EDG,,4 Round 2 iZu stax Round 6 stax Meteor Round 12 Meteor iZu Round 16 Meteor BuZz,3 Round 1 stax BuZz Meteor Round 10 iZu stax BuZz Round 14 Meteor Sylvan stax,,,,,,,,66,1,1
Smoggy EDG,,2 Round 5 BuZz stax Round 17 Sylvan iZu Smoggy,,1 Round 9 iZu Meteor Sylvan BuZz,,,,,,,65,1,0
S1Mon EDG,,1 Round 13 iZu BuZz,,,,,,,,,43,6,0
CHICHOO EDG,,4 Round 5 Sylvan Meteor Round 6 iZu Sylvan Round 13 Meteor Sylvan Round 19 Sylvan iZu,1 Round 20 iZu BuZz Sylvan,1 Round 15 Meteor Sylvan stax iZu,,1 Round 6 Sylvan,,,,,113,1,1
stax T1,,1 Round 14 S1Mon CHICHOO,2 Round 11 Smoggy nobody S1Mon Round 12 CHICHOO ZmjjKK nobody,1 Round 19 ZmjjKK nobody CHICHOO Smoggy,,1 Round 12 nobody,1 Round 19 CHICHOO Smoggy,,,,55,3,1
BuZz T1,,3 Round 3 CHICHOO Smoggy Round 15 CHICHOO Smoggy Round 18 Smoggy S1Mon,,,,,1 Round 15 CHICHOO Smoggy,,,,48,1,0
Sylvan T1,,4 Round 6 Smoggy nobody Round 12 Smoggy S1Mon Round 13 ZmjjKK S1Mon Round 17 ZmjjKK CHICHOO,,,1 Round 16 CHICHOO ZmjjKK nobody S1Mon Smoggy,,,,,1 Round 16 CHICHOO S1Mon ZmjjKK Smoggy nobody,53,3,0
Meteor T1,,1 Round 15 ZmjjKK nobody,,,,,,,,,32,0,0
iZu T1,,2 Round 9 ZmjjKK nobody Round 17 S1Mon nobody,,,,1 Round 17 Smoggy,,,,,41,0,0
