,iZu T1,BuZz T1,Meteor T1,stax T1,Sylvan T1
CHICHOO EDG,2 0 +2,3 0 +3,1 1 +0,2 0 +2,
ZmjjKK EDG,4 8 -4,3 3 +0,2 3 -1,4 0 +4,2 3 -1
S1Mon EDG,0 2 -2,0 1 -1,,,0 1 -1
nobody EDG,3 1 +2,1 2 -1,2 0 +2,,0 1 -1
Smoggy EDG,0 1 -1,1 1 +0,1 2 -1,0 1 -1,0 1 -1
