,iZu T1,BuZz T1,Meteor T1,stax T1,Sylvan T1
CHICHOO EDG,1 0 +1,1 0 +1,0 1 -1,,
ZmjjKK EDG,3 2 +1,0 1 -1,1 1 +0,2 0 +2,1 1 +0
S1Mon EDG,0 1 -1,0 1 -1,,,
nobody EDG,2 0 +2,,,,
Smoggy EDG,,0 1 -1,,,
