,Elite KC,marteen KC,Avez KC,SUYGETSU KC,saadhak KC
sociablEE BBL,14 9 +5,8 7 +1,6 9 -3,4 10 -6,10 7 +3
MAGNUM BBL,7 11 -4,9 9 +0,5 8 -3,8 6 +2,11 6 +5
PROFEK BBL,6 7 -1,9 11 -2,5 8 -3,12 12 +0,5 8 -3
LewN BBL,8 12 -4,9 8 +1,9 6 +3,11 10 +1,13 9 +4
Jamppi BBL,3 4 -1,6 14 -8,14 10 +4,4 8 -4,12 6 +6
