,Elite KC,marteen KC,Avez KC,SUYGETSU KC,saadhak KC
sociablEE BBL,,,1 0 +1,,2 1 +1
MAGNUM BBL,,0 1 -1,,,
PROFEK BBL,0 1 -1,,,1 1 +0,
LewN BBL,2 1 +1,1 1 +0,1 1 +0,1 0 +1,2 2 +0
Jamppi BBL,,,,,1 0 +1
