,Elite KC,marteen KC,Avez KC,SUYGETSU KC,saadhak KC
sociablEE BBL,0 5 -5,1 5 -4,2 4 -2,,2 0 +2
MAGNUM BBL,2 4 -2,1 1 +0,0 5 -5,1 0 +1,3 3 +0
PROFEK BBL,0 4 -4,1 5 -4,2 1 +1,0 3 -3,0 3 -3
LewN BBL,0 6 -6,3 1 +2,2 3 -1,4 3 +1,4 1 +3
Jamppi BBL,0 1 -1,2 3 -1,3 4 -1,0 3 -3,4 2 +2
