,Elite KC,marteen KC,Avez KC,SUYGETSU KC,saadhak KC
sociablEE BBL,1 0 +1,1 0 +1,,,
MAGNUM BBL,0 1 -1,1 1 +0,1 0 +1,0 1 -1,
PROFEK BBL,,,,,
LewN BBL,0 1 -1,1 1 +0,1 0 +1,1 1 +0,2 2 +0
Jamppi BBL,0 1 -1,0 3 -3,3 0 +3,,
