,Elite KC,marteen KC,Avez KC,SUYGETSU KC,saadhak KC
sociablEE BBL,1 0 +1,1 1 +0,1 0 +1,,2 1 +1
MAGNUM BBL,0 1 -1,2 2 +0,1 0 +1,0 1 -1,0 1 -1
PROFEK BBL,0 1 -1,1 2 -1,,1 2 -1,
LewN BBL,2 2 +0,4 3 +1,2 1 +1,5 2 +3,6 4 +2
Jamppi BBL,0 1 -1,0 3 -3,3 0 +3,,1 0 +1
