,Elite KC,marteen KC,Avez KC,SUYGETSU KC,saadhak KC
sociablEE BBL,3 0 +3,,,,2 0 +2
MAGNUM BBL,,0 1 -1,0 1 -1,,
PROFEK BBL,,0 2 -2,,,
LewN BBL,,1 1 +0,2 0 +2,1 0 +1,2 0 +2
Jamppi BBL,,0 2 -2,,,
