,Elite KC,marteen KC,Avez KC,SUYGETSU KC,saadhak KC
sociablEE BBL,,0 1 -1,,,
MAGNUM BBL,,1 0 +1,,,0 1 -1
PROFEK BBL,,1 2 -1,,0 1 -1,
LewN BBL,,2 1 +1,,3 1 +2,2 0 +2
Jamppi BBL,,,,,
