,Elite KC,marteen KC,Avez KC,SUYGETSU KC,saadhak KC
sociablEE BBL,6 2 +4,5 2 +3,4 2 +2,2 2 +0,4 4 +0
MAGNUM BBL,4 0 +4,4 4 +0,1 2 -1,1 4 -3,5 1 +4
PROFEK BBL,2 2 +0,5 3 +2,1 4 -3,9 5 +4,2 1 +1
LewN BBL,4 3 +1,2 3 -1,5 2 +3,3 5 -2,3 3 +0
Jamppi BBL,3 0 +3,1 6 -5,4 4 +0,1 2 -1,4 2 +2
