,Elite KC,marteen KC,Avez KC,SUYGETSU KC,saadhak KC
sociablEE BBL,8 2 +6,2 0 +2,0 3 -3,2 8 -6,4 3 +1
MAGNUM BBL,1 7 -6,4 4 +0,4 1 +3,6 2 +4,3 2 +1
PROFEK BBL,4 1 +3,3 3 +0,2 3 -1,3 4 -1,3 4 -1
LewN BBL,4 3 +1,4 4 +0,2 1 +1,4 2 +2,6 5 +1
Jamppi BBL,0 3 -3,3 5 -2,7 2 +5,3 3 +0,4 2 +2
