,Flashback DRX,BeYN DRX,free1ng DRX,MaKo DRX,HYUNMIN DRX
crashies FNC,,,,,
Chronicle FNC,0 2 -2,,,,
kaajak FNC,0 1 -1,,,,
Boaster FNC,0 2 -2,,,,
Alfajer FNC,,,,,
