,Flashback DRX,BeYN DRX,free1ng DRX,MaKo DRX,HYUNMIN DRX
crashies FNC,1 0 +1,0 1 -1,,,1 0 +1
Chronicle FNC,,,,1 0 +1,
kaajak FNC,,1 1 +0,0 1 -1,1 0 +1,
Boaster FNC,1 2 -1,,1 0 +1,0 1 -1,0 1 -1
Alfajer FNC,1 0 +1,2 0 +2,,0 1 -1,
