,Flashback DRX,BeYN DRX,free1ng DRX,MaKo DRX,HYUNMIN DRX
crashies FNC,1 0 +1,0 2 -2,1 0 +1,,1 0 +1
Chronicle FNC,1 4 -3,,1 0 +1,2 1 +1,2 2 +0
kaajak FNC,1 2 -1,1 2 -1,1 2 -1,5 1 +4,1 0 +1
Boaster FNC,3 4 -1,,1 0 +1,0 2 -2,1 1 +0
Alfajer FNC,1 4 -3,2 0 +2,1 0 +1,2 2 +0,3 2 +1
