,Flashback DRX,BeYN DRX,free1ng DRX,MaKo DRX,HYUNMIN DRX
crashies FNC,1 2 -1,3 5 -2,0 1 -1,2 3 -1,2 3 -1
Chronicle FNC,5 5 +0,1 0 +1,6 3 +3,3 1 +2,2 5 -3
kaajak FNC,2 2 +0,3 2 +1,5 2 +3,3 5 -2,3 3 +0
Boaster FNC,1 4 -3,1 3 -2,2 2 +0,2 3 -1,2 3 -1
Alfajer FNC,5 5 +0,4 1 +3,3 2 +1,1 4 -3,6 2 +4
