,Flashback DRX,BeYN DRX,free1ng DRX,MaKo DRX,HYUNMIN DRX
crashies FNC,4 1 +3,0 6 -6,5 2 +3,1 1 +0,6 4 +2
Chronicle FNC,2 4 -2,3 2 +1,1 3 -2,1 5 -4,2 3 -1
kaajak FNC,5 2 +3,3 4 -1,5 1 +4,6 3 +3,3 2 +1
Boaster FNC,4 6 -2,1 1 +0,1 4 -3,1 4 -3,3 2 +1
Alfajer FNC,4 3 +1,6 2 +4,7 2 +5,5 2 +3,3 3 +0
