,Flashback DRX,BeYN DRX,free1ng DRX,MaKo DRX,HYUNMIN DRX
crashies FNC,7 6 +1,4 16 -12,8 4 +4,7 5 +2,11 8 +3
Chronicle FNC,7 13 -6,9 2 +7,7 10 -3,8 9 -1,5 10 -5
kaajak FNC,9 6 +3,9 8 +1,14 5 +9,12 8 +4,8 6 +2
Boaster FNC,8 15 -7,3 5 -2,5 6 -1,5 8 -3,6 8 -2
Alfajer FNC,16 9 +7,13 4 +9,13 5 +8,8 7 +1,14 11 +3
