,Flashback DRX,BeYN DRX,free1ng DRX,MaKo DRX,HYUNMIN DRX
crashies FNC,,,1 0 +1,,
Chronicle FNC,0 3 -3,,1 0 +1,0 1 -1,1 1 +0
kaajak FNC,1 1 +0,0 1 -1,,2 0 +2,
Boaster FNC,2 2 +0,,,,
Alfajer FNC,0 2 -2,,1 0 +1,2 0 +2,1 1 +0
