,Flashback DRX,BeYN DRX,free1ng DRX,MaKo DRX,HYUNMIN DRX
crashies FNC,,0 1 -1,,,
Chronicle FNC,1 1 +0,,,1 0 +1,1 1 +0
kaajak FNC,0 1 -1,,1 1 +0,2 1 +1,1 0 +1
Boaster FNC,,,,0 1 -1,1 0 +1
Alfajer FNC,0 2 -2,,,0 1 -1,2 1 +1
