,Flashback DRX,BeYN DRX,free1ng DRX,MaKo DRX,HYUNMIN DRX
crashies FNC,2 3 -1,1 5 -4,3 1 +2,4 1 +3,3 1 +2
Chronicle FNC,0 4 -4,5 0 +5,0 4 -4,4 3 +1,1 2 -1
kaajak FNC,2 2 +0,3 2 +1,4 2 +2,3 0 +3,2 1 +1
Boaster FNC,3 5 -2,1 1 +0,2 0 +2,2 1 +1,1 3 -2
Alfajer FNC,7 1 +6,3 1 +2,3 1 +2,2 1 +1,5 6 -1
