,CLZ ZETA,Xdll ZETA,SugarZ3ro ZETA,Dep ZETA,SyouTa ZETA
BuZz T1,,,,3 0 +3,1 2 -1
Meteor T1,,1 0 +1,1 0 +1,,
stax T1,,1 0 +1,,0 1 -1,
Sylvan T1,1 2 -1,1 1 +0,,1 0 +1,1 0 +1
iZu T1,1 1 +0,,,1 0 +1,
