,CLZ ZETA,Xdll ZETA,SugarZ3ro ZETA,Dep ZETA,SyouTa ZETA
BuZz T1,,1 1 +0,1 1 +0,6 2 +4,2 4 -2
Meteor T1,1 1 +0,2 1 +1,2 2 +0,3 3 +0,2 1 +1
stax T1,0 1 -1,1 2 -1,1 0 +1,0 2 -2,
Sylvan T1,1 2 -1,1 2 -1,0 1 -1,2 1 +1,1 0 +1
iZu T1,1 3 -2,1 0 +1,0 1 -1,2 1 +1,0 1 -1
