,CLZ ZETA,Xdll ZETA,SugarZ3ro ZETA,Dep ZETA,SyouTa ZETA
BuZz T1,,,,2 1 +1,
Meteor T1,,1 1 +0,1 0 +1,2 2 +0,1 1 +0
stax T1,,0 1 -1,,,
Sylvan T1,,,0 1 -1,0 1 -1,
iZu T1,0 1 -1,1 0 +1,,1 0 +1,
