,BABYBAY G2,trent G2,valyn G2,jawgemo G2,JonahP G2
s0m NRG,,,,,0 1 -1
brawk NRG,,,,,0 3 -3
Ethan NRG,,,,,
skuba NRG,,,,,
mada NRG,1 0 +1,3 0 +3,4 0 +4,,1 2 -1
