,BABYBAY G2,trent G2,valyn G2,jawgemo G2,JonahP G2
s0m NRG,,,,0 1 -1,
brawk NRG,,,,0 1 -1,
Ethan NRG,,,,0 2 -2,
skuba NRG,,,,0 2 -2,
mada NRG,,,,0 1 -1,
