,BABYBAY G2,trent G2,valyn G2,jawgemo G2,JonahP G2
s0m NRG,1 1 +0,,,0 1 -1,0 2 -2
brawk NRG,0 2 -2,,,0 1 -1,0 3 -3
Ethan NRG,0 1 -1,,,0 2 -2,
skuba NRG,0 1 -1,,,0 2 -2,
mada NRG,3 1 +2,5 0 +5,7 0 +7,3 1 +2,1 2 -1
