,BABYBAY G2,trent G2,valyn G2,jawgemo G2,JonahP G2
s0m NRG,0 1 -1,,1 1 +0,3 0 +3,
brawk NRG,1 0 +1,,,,0 1 -1
Ethan NRG,0 1 -1,0 1 -1,,1 0 +1,
skuba NRG,0 1 -1,1 0 +1,,1 0 +1,1 0 +1
mada NRG,,0 1 -1,3 3 +0,,0 1 -1
