,BABYBAY G2,trent G2,valyn G2,jawgemo G2,JonahP G2
s0m NRG,6 3 +3,7 2 +5,5 4 +1,2 1 +1,2 8 -6
brawk NRG,3 5 -2,2 2 +0,1 2 -1,3 6 -3,1 2 -1
Ethan NRG,3 4 -1,3 2 +1,2 4 -2,2 4 -2,5 1 +4
skuba NRG,2 6 -4,1 1 +0,0 3 -3,5 3 +2,2 4 -2
mada NRG,4 5 -1,5 3 +2,7 4 +3,7 2 +5,3 4 -1
