,BABYBAY G2,trent G2,valyn G2,jawgemo G2,JonahP G2
s0m NRG,3 3 +0,5 1 +4,2 5 -3,7 3 +4,5 1 +4
brawk NRG,1 2 -1,3 2 +1,3 4 -1,1 3 -2,2 4 -2
Ethan NRG,2 3 -1,2 2 +0,3 6 -3,4 5 -1,3 1 +2
skuba NRG,3 5 -2,4 2 +2,4 2 +2,4 3 +1,4 3 +1
mada NRG,3 3 +0,3 1 +2,8 5 +3,2 4 -2,1 3 -2
