,BABYBAY G2,trent G2,valyn G2,jawgemo G2,JonahP G2
s0m NRG,3 3 +0,2 0 +2,2 2 +0,4 3 +1,1 2 -1
brawk NRG,1 0 +1,0 1 -1,0 1 -1,0 1 -1,0 1 -1
Ethan NRG,0 2 -2,0 3 -3,0 1 -1,2 0 +2,
skuba NRG,0 3 -3,1 2 -1,0 1 -1,2 2 +0,2 0 +2
mada NRG,1 1 +0,1 1 +0,3 5 -2,3 0 +3,2 2 +0
