,BABYBAY G2,trent G2,valyn G2,jawgemo G2,JonahP G2
s0m NRG,5 2 +3,4 2 +2,4 4 +0,3 2 +1,3 3 +0
brawk NRG,2 1 +1,1 3 -2,1 5 -4,1 1 +0,2 6 -4
Ethan NRG,2 3 -1,3 4 -1,1 3 -2,0 5 -5,2 1 +1
skuba NRG,1 3 -2,2 2 +0,1 4 -3,5 2 +3,3 5 -2
mada NRG,0 3 -3,1 3 -2,6 4 +2,3 4 -1,2 4 -2
