,BABYBAY G2,trent G2,valyn G2,jawgemo G2,JonahP G2
s0m NRG,14 8 +6,16 5 +11,11 13 -2,12 6 +6,10 12 -2
brawk NRG,6 8 -2,6 7 -1,5 11 -6,5 10 -5,5 12 -7
Ethan NRG,7 10 -3,8 8 +0,6 13 -7,6 14 -8,10 3 +7
skuba NRG,6 14 -8,7 5 +2,5 9 -4,14 8 +6,9 12 -3
mada NRG,7 11 -4,9 7 +2,21 13 +8,12 10 +2,6 11 -5
