,BABYBAY G2,trent G2,valyn G2,jawgemo G2,JonahP G2
s0m NRG,1 1 +0,,,,0 1 -1
brawk NRG,0 2 -2,,,,
Ethan NRG,0 1 -1,,,,
skuba NRG,0 1 -1,,,,
mada NRG,2 1 +1,2 0 +2,3 0 +3,3 0 +3,
