,hiro NAVI,koalanoob NAVI,Shao NAVI,ANGE1 NAVI,Ruxic NAVI
saadhak KC,,2 4 -2,1 1 +0,,0 2 -2
SUYGETSU KC,,2 1 +1,1 1 +0,1 1 +0,1 3 -2
Avez KC,,2 3 -1,0 1 -1,1 1 +0,1 0 +1
marteen KC,2 1 +1,2 1 +1,1 3 -2,3 3 +0,2 2 +0
Elite KC,,3 1 +2,,0 2 -2,1 0 +1
