,hiro NAVI,koalanoob NAVI,Shao NAVI,ANGE1 NAVI,Ruxic NAVI
saadhak KC,,0 1 -1,,,
SUYGETSU KC,,,,,
Avez KC,,0 1 -1,,,
marteen KC,,0 1 -1,,,
Elite KC,,0 2 -2,,,
