,hiro NAVI,koalanoob NAVI,Shao NAVI,ANGE1 NAVI,Ruxic NAVI
saadhak KC,,0 1 -1,,,
SUYGETSU KC,,,0 0,,
Avez KC,,,,,
marteen KC,1 0 +1,,,,1 0 +1
Elite KC,,,,,
