,hiro NAVI,koalanoob NAVI,Shao NAVI,ANGE1 NAVI,Ruxic NAVI
saadhak KC,,1 1 +0,,,0 1 -1
SUYGETSU KC,,0 1 -1,0 0,0 1 -1,1 3 -2
Avez KC,,1 0 +1,0 1 -1,,1 0 +1
marteen KC,1 1 +0,,0 2 -2,1 0 +1,1 0 +1
Elite KC,,1 0 +1,,,
