,hiro NAVI,koalanoob NAVI,Shao NAVI,ANGE1 NAVI,Ruxic NAVI
saadhak KC,,1 1 +0,1 0 +1,,
SUYGETSU KC,,1 0 +1,1 1 +0,1 0 +1,
Avez KC,,1 1 +0,,,
marteen KC,1 0 +1,,,0 1 -1,1 2 -1
Elite KC,,,,0 1 -1,
