,hiro NAVI,koalanoob NAVI,Shao NAVI,ANGE1 NAVI,Ruxic NAVI
saadhak KC,3 2 +1,2 4 -2,4 1 +3,1 1 +0,6 1 +5
SUYGETSU KC,1 1 +0,1 2 -1,0 0,3 2 +1,1 7 -6
Avez KC,5 1 +4,7 2 +5,4 4 +0,4 2 +2,2 1 +1
marteen KC,4 2 +2,1 1 +0,2 6 -4,2 3 -1,4 3 +1
Elite KC,1 1 +0,3 4 -1,2 4 -2,5 0 +5,3 4 -1
