,hiro NAVI,koalanoob NAVI,Shao NAVI,ANGE1 NAVI,Ruxic NAVI
saadhak KC,,0 3 -3,,,
SUYGETSU KC,,1 0 +1,,1 0 +1,
Avez KC,,0 1 -1,,,
marteen KC,1 0 +1,0 2 -2,,,1 0 +1
Elite KC,,0 3 -3,,,
