,hiro NAVI,koalanoob NAVI,Shao NAVI,ANGE1 NAVI,Ruxic NAVI
saadhak KC,7 6 +1,4 12 -8,8 6 +2,5 2 +3,11 6 +5
SUYGETSU KC,5 6 -1,9 6 +3,7 5 +2,10 5 +5,7 10 -3
Avez KC,10 3 +7,15 9 +6,6 8 -2,12 5 +7,7 6 +1
marteen KC,11 7 +4,5 5 +0,6 11 -5,8 9 -1,11 10 +1
Elite KC,6 8 -2,9 11 -2,7 6 +1,9 3 +6,7 8 -1
