,hiro NAVI,koalanoob NAVI,Shao NAVI,ANGE1 NAVI,Ruxic NAVI
saadhak KC,,0 2 -2,0 1 -1,,0 1 -1
SUYGETSU KC,,1 0 +1,,,
Avez KC,,0 2 -2,,1 1 +0,
marteen KC,,2 1 +1,1 1 +0,2 2 +0,
Elite KC,,2 1 +1,,0 1 -1,1 0 +1
