,hiro NAVI,koalanoob NAVI,Shao NAVI,ANGE1 NAVI,Ruxic NAVI
saadhak KC,2 4 -2,0 5 -5,3 4 -1,4 1 +3,2 4 -2
SUYGETSU KC,3 4 -1,5 4 +1,3 3 +0,3 1 +2,5 1 +4
Avez KC,3 2 +1,3 6 -3,1 4 -3,3 2 +1,3 3 +0
marteen KC,3 5 -2,3 3 +0,2 3 -1,3 3 +0,3 2 +1
Elite KC,2 5 -3,5 6 -1,3 2 +1,2 1 +1,3 2 +1
