,yay EG,Derrek EG,supamen EG,icy EG,NaturE EG
trent G2,6 8 -2,1 2 -1,4 4 +0,4 2 +2,1 3 -2
JonahP G2,8 5 +3,3 2 +1,2 6 -4,2 3 -1,4 1 +3
jawgemo G2,4 3 +1,5 5 +0,5 3 +2,3 1 +2,5 5 +0
leaf G2,1 5 -4,3 1 +2,1 5 -4,3 5 -2,2 1 +1
valyn G2,0 4 -4,2 4 -2,3 1 +2,5 3 +2,2 4 -2
