,yay EG,Derrek EG,supamen EG,icy EG,NaturE EG
trent G2,6 2 +4,3 1 +2,4 2 +2,3 3 +0,0 2 -2
JonahP G2,1 3 -2,3 4 -1,3 2 +1,4 2 +2,2 1 +1
jawgemo G2,2 3 -1,4 3 +1,5 1 +4,2 8 -6,5 0 +5
leaf G2,6 2 +4,3 3 +0,5 3 +2,6 2 +4,8 2 +6
valyn G2,2 5 -3,2 2 +0,,2 5 -3,2 0 +2
