,yay EG,Derrek EG,supamen EG,icy EG,NaturE EG
trent G2,14 17 -3,7 5 +2,12 9 +3,14 7 +7,8 5 +3
JonahP G2,12 9 +3,8 9 -1,9 12 -3,7 8 -1,9 7 +2
jawgemo G2,10 10 +0,12 13 -1,11 8 +3,9 13 -4,13 10 +3
leaf G2,16 10 +6,11 6 +5,10 11 -1,11 8 +3,11 6 +5
valyn G2,3 12 -9,10 8 +2,5 6 -1,15 15 +0,7 4 +3
