,yay EG,Derrek EG,supamen EG,icy EG,NaturE EG
trent G2,1 3 -2,,,1 1 +0,
JonahP G2,0 1 -1,,,0 1 -1,0 1 -1
jawgemo G2,1 1 +0,1 0 +1,,2 2 +0,3 0 +3
leaf G2,1 1 +0,,0 2 -2,1 0 +1,
valyn G2,,,,,
