,yay EG,Derrek EG,supamen EG,icy EG,NaturE EG
trent G2,1 0 +1,,1 0 +1,2 0 +2,
JonahP G2,1 0 +1,,,1 2 -1,
jawgemo G2,1 0 +1,0 1 -1,2 1 +1,2 0 +2,
leaf G2,0 1 -1,,0 1 -1,0 2 -2,
valyn G2,,0 1 -1,,1 1 +0,
