,yay EG,Derrek EG,supamen EG,icy EG,NaturE EG
trent G2,2 3 -1,,2 0 +2,3 1 +2,
JonahP G2,1 2 -1,0 1 -1,,1 3 -2,0 1 -1
jawgemo G2,2 1 +1,2 1 +1,4 1 +3,5 5 +0,3 0 +3
leaf G2,3 2 +1,0 1 -1,1 5 -4,2 2 +0,1 0 +1
valyn G2,0 1 -1,0 1 -1,,1 1 +0,1 0 +1
