,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
valyn G2,,1 Round 22 Rossy Demon1,3 Round 2 tex C0M Rossy Round 3 Rossy Demon1 tex Round 14 kiNgg C0M Rossy,,,,,,,,49,3,1
jawgemo G2,,2 Round 3 kiNgg C0M Round 11 kiNgg Rossy,,,,,,,,,33,1,0
JonahP G2,,4 Round 1 Demon1 Rossy Round 13 Rossy kiNgg Round 16 Demon1 tex Round 22 kiNgg C0M,,,,,,,,,37,4,1
leaf G2,,3 Round 10 kiNgg Rossy Round 21 kiNgg C0M Round 24 Rossy C0M,2 Round 8 tex Demon1 C0M Round 15 tex Rossy Demon1,,,1 Round 13 Demon1,,,,,49,0,0
trent G2,,4 Round 1 kiNgg tex Round 4 kiNgg Rossy Round 7 kiNgg tex Round 8 Rossy kiNgg,2 Round 6 Demon1 kiNgg C0M trent Round 12 tex Demon1 kiNgg,,,,,1 Round 12 C0M kiNgg Demon1,,,61,0,1
C0M LEV,,3 Round 11 jawgemo leaf Round 20 jawgemo trent Round 22 leaf valyn,1 Round 6 jawgemo JonahP valyn,,,,2 Round 6 trent valyn Round 11 jawgemo leaf,,,,66,1,2
Rossy LEV,,6 Round 4 jawgemo valyn Round 7 jawgemo leaf Round 14 leaf jawgemo Round 16 JonahP trent Round 18 trent JonahP Round 24 jawgemo trent,,,,,,,,,49,6,0
tex LEV,,3 Round 14 valyn JonahP Round 16 valyn jawgemo Round 17 leaf valyn,2 Round 5 jawgemo JonahP leaf Round 18 jawgemo valyn leaf,1 Round 19 JonahP jawgemo valyn trent,,,1 Round 14 JonahP valyn,,,,81,0,1
kiNgg LEV,,4 Round 11 JonahP valyn Round 15 JonahP jawgemo Round 20 leaf valyn Round 23 leaf trent,,,,,,,,,32,0,0
Demon1 LEV,,5 Round 9 leaf jawgemo Round 10 JonahP valyn Round 12 leaf JonahP Round 13 JonahP valyn Round 24 JonahP leaf,1 Round 3 JonahP leaf jawgemo,,,,,,,,61,1,1
