,C0M LEV,Rossy LEV,tex LEV,kiNgg LEV,Demon1 LEV
leaf G2,1 0 +1,1 1 +0,2 2 +0,4 3 +1,3 4 -1
jawgemo G2,0 1 -1,0 1 -1,1 3 -2,4 2 +2,4 2 +2
trent G2,0 1 -1,1 0 +1,0 1 -1,2 0 +2,1 2 -1
valyn G2,,1 0 +1,2 1 +1,1 1 +0,3 0 +3
JonahP G2,0 2 -2,1 1 +0,1 2 -1,1 0 +1,2 1 +1
