,HYUNMIN DRX,free1ng DRX,Estrella DRX,MaKo DRX,BeYN DRX
xffero RRQ,12 7 +5,7 10 -3,9 8 +1,12 16 -4,16 4 +12
Jemkin RRQ,13 6 +7,13 9 +4,11 3 +8,12 10 +2,11 9 +2
Kushy RRQ,12 15 -3,8 10 -2,6 8 -2,9 10 -1,10 4 +6
Monyet RRQ,12 13 -1,5 8 -3,6 4 +2,7 10 -3,8 11 -3
crazyguy RRQ,7 15 -8,12 8 +4,16 5 +11,6 15 -9,8 4 +4
