,HYUNMIN DRX,free1ng DRX,Estrella DRX,MaKo DRX,BeYN DRX
xffero RRQ,3 4 -1,3 5 -2,4 3 +1,6 4 +2,6 1 +5
Jemkin RRQ,4 3 +1,8 4 +4,3 2 +1,4 3 +1,6 0 +6
Kushy RRQ,4 8 -4,0 6 -6,2 2 +0,2 4 -2,2 0 +2
Monyet RRQ,5 6 -1,1 3 -2,1 1 +0,2 3 -1,2 4 -2
crazyguy RRQ,5 3 +2,4 4 +0,6 3 +3,3 6 -3,5 1 +4
