,HYUNMIN DRX,free1ng DRX,Estrella DRX,MaKo DRX,BeYN DRX
xffero RRQ,4 1 +3,2 1 +1,1 1 +0,0 2 -2,2 0 +2
Jemkin RRQ,2 2 +0,5 3 +2,3 1 +2,3 1 +2,
Kushy RRQ,0 2 -2,1 1 +0,,0 2 -2,
Monyet RRQ,5 4 +1,3 2 +1,,0 1 -1,3 2 +1
crazyguy RRQ,0 1 -1,1 0 +1,3 0 +3,0 1 -1,0 1 -1
