,HYUNMIN DRX,free1ng DRX,Estrella DRX,MaKo DRX,BeYN DRX
xffero RRQ,,1 1 +0,0 1 -1,,1 0 +1
Jemkin RRQ,0 1 -1,3 2 +1,1 1 +0,2 1 +1,
Kushy RRQ,0 2 -2,0 1 -1,,0 1 -1,
Monyet RRQ,2 1 +1,1 1 +0,,,
crazyguy RRQ,,,1 0 +1,0 1 -1,
