,HYUNMIN DRX,free1ng DRX,Estrella DRX,MaKo DRX,BeYN DRX
xffero RRQ,3 2 +1,2 1 +1,2 3 -1,3 2 +1,5 1 +4
Jemkin RRQ,6 2 +4,4 2 +2,4 0 +4,4 1 +3,3 3 +0
Kushy RRQ,2 3 -1,4 1 +3,2 3 -1,3 3 +0,3 1 +2
Monyet RRQ,4 3 +1,2 1 +1,1 1 +0,3 2 +1,2 2 +0
crazyguy RRQ,1 5 -4,2 2 +0,5 1 +4,0 4 -4,3 0 +3
