,HYUNMIN DRX,free1ng DRX,Estrella DRX,MaKo DRX,BeYN DRX
xffero RRQ,3 0 +3,,,0 1 -1,
Jemkin RRQ,1 0 +1,0 1 -1,1 0 +1,,
Kushy RRQ,,1 0 +1,,,
Monyet RRQ,2 3 -1,2 1 +1,,0 1 -1,3 2 +1
crazyguy RRQ,,,1 0 +1,,0 1 -1
