,HYUNMIN DRX,free1ng DRX,Estrella DRX,MaKo DRX,BeYN DRX
xffero RRQ,6 1 +5,2 4 -2,3 2 +1,3 10 -7,5 2 +3
Jemkin RRQ,3 1 +2,1 3 -2,4 1 +3,4 6 -2,2 6 -4
Kushy RRQ,6 4 +2,4 3 +1,2 3 -1,4 3 +1,5 3 +2
Monyet RRQ,3 4 -1,2 4 -2,4 2 +2,2 5 -3,4 5 -1
crazyguy RRQ,1 7 -6,6 2 +4,5 1 +4,3 5 -2,0 3 -3
