,Art DFM,Meiy DFM,gyen DFM,Jinboong DFM,Akame DFM
t3xture GEN,3 0 +3,1 1 +0,,1 0 +1,
yoman GEN,,1 0 +1,,,
Karon GEN,0 2 -2,,,,
Foxy9 GEN,,0 1 -1,,0 1 -1,1 1 +0
Munchkin GEN,1 0 +1,2 0 +2,1 0 +1,0 1 -1,0 1 -1
