,Art DFM,Meiy DFM,gyen DFM,Jinboong DFM,Akame DFM
t3xture GEN,2 4 -2,6 2 +4,3 3 +0,4 2 +2,3 2 +1
yoman GEN,3 0 +3,4 1 +3,2 3 -1,2 0 +2,3 3 +0
Karon GEN,6 1 +5,0 6 -6,4 1 +3,4 0 +4,3 3 +0
Foxy9 GEN,2 2 +0,0 1 -1,1 2 -1,2 4 -2,4 2 +2
Munchkin GEN,2 3 -1,4 2 +2,4 1 +3,4 0 +4,0 4 -4
