,Art DFM,Meiy DFM,gyen DFM,Jinboong DFM,Akame DFM
t3xture GEN,6 6 +0,7 4 +3,5 3 +2,6 4 +2,6 7 -1
yoman GEN,6 3 +3,8 3 +5,3 6 -3,4 2 +2,5 3 +2
Karon GEN,8 4 +4,1 9 -8,9 2 +7,5 2 +3,7 6 +1
Foxy9 GEN,5 3 +2,3 3 +0,5 3 +2,6 5 +1,9 6 +3
Munchkin GEN,5 3 +2,10 3 +7,7 4 +3,7 3 +4,2 5 -3
