,Art DFM,Meiy DFM,gyen DFM,Jinboong DFM,Akame DFM
t3xture GEN,1 3 -2,1 2 -1,1 0 +1,2 0 +2,0 2 -2
yoman GEN,,,,,
Karon GEN,,0 1 -1,,,0 1 -1
Foxy9 GEN,0 1 -1,,,,
Munchkin GEN,,2 1 +1,,1 0 +1,
