,bang SEN,zekken SEN,johnqt SEN,Zellsis SEN,N4RRATE SEN
grubinho GX,1 0 +1,2 0 +2,,,1 0 +1
westside GX,1 0 +1,,,,0 1 -1
ara GX,0 1 -1,0 1 -1,0 1 -1,1 0 +1,1 1 +0
Cloud GX,,3 0 +3,,1 0 +1,
Flickless GX,,,,0 1 -1,
